10/23/15,Cont'd attempts collect debt not owed,EOS Holdings Inc.,CA,941XX,1623239
10/23/15,Incorrect information on credit report,Transworld Systems Inc.,CA,94070,1622172
10/23/15,Taking out the loan or lease,Ally Financial Inc.,MN,55445,1623229
10/23/15,Unable to get credit report/credit score,Equifax,GA,30016,1621176
10/23/15,Improper use of my credit report,Equifax,MN,55346,1622723
10/23/15,Cont'd attempts collect debt not owed,American Credit Adjusters,CA,95969,1621267
10/23/15,Disclosure verification of debt,Kimball Tirey & St. John LLP,CA,923XX,1622863
10/23/15,Incorrect information on credit report,Equifax,OH,43055,1622867
10/23/15,Incorrect information on credit report,Equifax,CA,913XX,1621242
10/23/15,Disclosure verification of debt,Transworld Systems Inc.,FL,32828,1622888
10/23/15,Cont'd attempts collect debt not owed,Enhanced Recovery Company LLC,GA,301XX,1623255
10/23/15,Disclosure verification of debt,Kings Credit Services,CA,92694,1622621
10/23/15,Disclosure verification of debt,Transworld Systems Inc.,IL,61571,1621602
10/23/15,Disclosure verification of debt,Transworld Systems Inc.,CA,94017,1621814
10/23/15,Cont'd attempts collect debt not owed,Transworld Systems Inc.,NY,11109,1622291
10/23/15,Deposits and withdrawals,Capital One,NY,11375,1623081
10/23/15,Managing the loan or lease,Ally Financial Inc.,CA,91702,1622627
10/23/15,Deposits and withdrawals,JPMorgan Chase,AZ,85381,1621140
10/23/15,Incorrect information on credit report,Equifax,VA,23236,1622891
10/23/15,Managing the loan or lease,CashCall Inc.,TX,75068,1623208
10/23/15,Incorrect information on credit report,Equifax,KY,40299,1622349
10/23/15,Dealing with my lender or servicer,Transworld Systems Inc.,CA,94509,1623066
10/23/15,Incorrect information on credit report,TransUnion,PA,16121,1621298
10/23/15,Incorrect information on credit report,Equifax,FL,33139,1622801
10/23/15,Disclosure verification of debt,Transworld Systems Inc.,,,1621708
10/23/15,Delinquent account,Continental Finance Company LLC,AL,354XX,1622928
10/23/15,Incorrect information on credit report,Equifax,TX,750XX,1621293
10/23/15,"Loan modification,collection,foreclosure",Bank of America,CA,921XX,1621151
10/23/15,Incorrect information on credit report,Equifax,MS,390XX,1622316
10/23/15,Problems when you are unable to pay,Ally Financial Inc.,NJ,083XX,1621580
10/23/15,Taking/threatening an illegal action,Constar Financial Services LLC,TX,782XX,1621501
10/23/15,Incorrect information on credit report,Equifax,TX,750XX,1621294
10/23/15,Disclosure verification of debt,Rickart Collection Systems Inc.,NJ,070XX,1621467
10/23/15,Using a debit or ATM card,Ally Financial Inc.,PA,181XX,1621442
10/23/15,Incorrect information on credit report,TransUnion,VA,232XX,1622924
10/23/15,Problems caused by my funds being low,Wells Fargo,CA,913XX,1621646
10/23/15,Cont'd attempts collect debt not owed,Hunter Warfield  Inc.,VA,238XX,1621596
10/23/15,Taking out the loan or lease,CashCall Inc.,CA,928XX,1622047
10/23/15,Credit reporting company's investigation,Equifax,MT,598XX,1621225
10/23/15,Cont'd attempts collect debt not owed,Capital Management Services LP,CT,064XX,1621770
10/23/15,Improper use of my credit report,Equifax,MD,211XX,1621763
10/23/15,Using a debit or ATM card,JPMorgan Chase,OH,440XX,1621737
10/23/15,Credit reporting company's investigation,Equifax,VA,224XX,1621099
10/23/15,Managing the loan or lease,Ally Financial Inc.,CT,068XX,1621927
10/23/15,Cont'd attempts collect debt not owed,North Shore Agency LLC,CA,933XX,1621771
10/23/15,Incorrect information on credit report,Equifax,AZ,852XX,1621858
10/23/15,Incorrect information on credit report,Equifax,CT,066XX,1622178
10/23/15,Problems caused by my funds being low,Wells Fargo,FL,327XX,1622236
10/23/15,Incorrect information on credit report,Equifax,MS,386XX,1622685
10/23/15,Disclosure verification of debt,Southern Management Systems Inc.,NY,104XX,1622637
10/23/15,Deposits and withdrawals,JPMorgan Chase,NY,114XX,1622565
10/23/15,Disclosure verification of debt,Encore Capital Group,LA,704XX,1621141
10/23/15,Credit monitoring or identity protection,Equifax,NY,105XX,1622535
10/23/15,Credit reporting company's investigation,Equifax,TX,775XX,1621198
10/23/15,Cont'd attempts collect debt not owed,Mariner Finance LLC,FL,322XX,1622457
10/22/15,Incorrect information on credit report,TransUnion,IN,46064,1620281
10/22/15,Incorrect information on credit report,Equifax,FL,33160,1621168
